name,rating,score,votes,budget,gross,runtime,log_votes,weighted_score,runtime_category,director_top10,writer_top10,star_top30,genre_top10,country_top5,company_top10,is_hit
Passion Fish,R,0.7432432432432432,0.3482990052622986,0.584013731218202,0.6226260316941574,0.34615384615384615,8.556606193773073,63.31888583392074,long,Others,Others,Others,Drama,United States,Others,0
American Heart,R,0.6486486486486486,0.2967325957703041,0.6856451599423127,0.4594859943378073,0.24038461538461542,8.071218539969863,54.07716421779808,normal,Others,Others,Jeff Bridges,Crime,United States,Others,0
Christopher Columbus: The Discovery,PG-13,0.3513513513513513,0.2825512849832452,0.8137730755173961,0.6573803570952488,0.27403846153846156,7.937731775260109,35.71979298867049,long,Others,Others,Others,Adventure,United Kingdom,Others,0
The Public Eye,R,0.6216216216216216,0.3062499298107607,0.7231201718424208,0.5935509984778169,0.17307692307692307,8.160803920954665,53.045225486205325,normal,Others,Others,Others,Crime,United States,Universal Pictures,0
Article 99,R,0.5675675675675674,0.29336076151032753,0.7399711967991446,0.6407475690573983,0.17788461538461536,8.03947991910045,49.040827506512734,normal,Others,Others,Others,Comedy,United States,Others,0
The Mambo Kings,R,0.6081081081081081,0.3482990052622986,0.726150763122286,0.6443504402897953,0.19711538461538458,8.556606193773073,54.76227964014767,normal,Others,Others,Others,Drama,France,Others,0
City of Joy,PG-13,0.6216216216216216,0.3419872554889243,0.7774462100685081,0.6945685170645524,0.3317307692307693,8.497194544909547,55.23176454191206,long,Others,Others,Others,Drama,France,Others,0
Love Field,PG-13,0.635135135135135,0.31498431063676946,0.7399711967991446,0.5221708733930639,0.20192307692307687,8.24301946898925,54.40392849532904,normal,Others,Others,Others,Drama,United States,Others,0
Mr. Saturday Night,R,0.5405405405405406,0.33294222285120445,0.8204572950878778,0.6884307030692847,0.2692307692307693,8.412054873292933,49.6311237524283,normal,Others,Others,Others,Comedy,United States,Others,0
Twin Dragons,PG-13,0.6216216216216216,0.4278853223684982,0.6856451599423127,0.6582243383671498,0.19711538461538458,9.305741456739437,60.48731946880633,normal,Others,Others,Others,Action,Others,Others,0
The Living End,Unrated,0.6216216216216216,0.2862779939782957,0.12325005767849562,0.4975291475652371,0.08653846153846151,7.972810784121404,51.82327009678913,short,Others,Others,Others,Comedy,United States,Others,1
Simple Men,R,0.7162162162162161,0.3230548243408391,0.574368284984811,0.39575311276408226,0.20192307692307687,8.31898612539206,59.896700102822834,normal,Others,Others,Others,Crime,Others,Others,0
Guncrazy,R,0.4864864864864864,0.25694115540180484,0.4522054044757694,0.38141758012430144,0.16346153846153844,7.696667081526462,42.33166894839554,normal,Others,Others,Others,Crime,United States,Others,0
Folks!,PG-13,0.5135135135135135,0.27051607107679043,0.7231201718424208,0.6382400566403355,0.21153846153846156,7.824445930877619,44.59934180600243,normal,Others,Others,Others,Comedy,United States,Others,0
Night and the City,R,0.527027027027027,0.33527669559031015,0.7497091165745452,0.6389705211448613,0.20192307692307687,8.434028950155469,48.91736791090172,normal,Others,Others,Robert De Niro,Comedy,United States,Others,0
Whispers in the Dark,R,0.4999999999999999,0.24682045926850016,0.7399711967991446,0.6766584976082664,0.1923076923076923,7.601402334583733,42.56785307366891,normal,Others,Others,Others,Drama,United States,Paramount Pictures,0
Man Trouble,PG-13,0.3783783783783784,0.28987839206421595,0.7871841300150656,0.6121976138394478,0.17788461538461536,8.006700845440367,37.631493973569725,normal,Others,Others,Others,Comedy,United States,Others,0
Ruby Cairo,PG-13,0.41891891891891886,0.2520012799843988,0.7665601417880045,0.48921727606585047,0.1298076923076923,7.650168700845001,38.250843504225,normal,Others,Others,Others,Mystery,United States,Others,0
The Waterdance,R,0.6621621621621621,0.2746811509277505,0.5646303681190777,0.5563411305013095,0.20673076923076927,7.8636512654486515,53.47282860505083,normal,Others,Others,Others,Drama,United States,Others,0
The Gun in Betty Lou's Handbag,PG-13,0.43243243243243235,0.2231275007126179,0.709894111775549,0.6060181290462237,0.125,7.378383712996714,37.62975693628324,short,Others,Others,Others,Comedy,United States,Others,0
Tombstone,R,0.7972972972972973,0.6918669375974219,0.7703331046475647,0.7815099519078408,0.3221153846153846,11.790564777297387,91.96640526291962,long,Others,Others,Others,Action,United States,Others,1
Jurassic Park,PG-13,0.8378378378378376,0.8950885268484173,0.8557575088294623,0.9690469182953316,0.3076923076923077,13.703462172723258,110.9980435990584,long,Steven Spielberg,Others,Others,Action,United States,Universal Pictures,1
